City of Sunnyvale,,,,
Report Number,Date,Violation Code,race,Sex
E236470,1/28/2020,231235A,Unknown,M
E222850,1/29/2020,27602,,F
E222851,1/29/2020,231235A,,F
E222852,1/29/2020,231235A,,M
E222853,1/29/2020,231235A,,M
E222854,1/29/2020,231235A,,M
E222855,1/29/2020,21453A,,F
E222856,1/29/2020,21950A,,F
E222857,1/29/2020,21950A,,M
E222858,1/29/2020,21950A,,F
E222859,1/29/2020,21453A,,F
E222860,1/29/2020,231235A,,F
E222861,1/29/2020,22450A,,F
E222862,1/29/2020,22450A,,F
E222863,1/29/2020,22450A 12951A,,F
E222864,1/29/2020,22450A,,M
E222865,1/29/2020,22450A,,F
E222866,1/29/2020,27315E,,M
E222867,1/29/2020,27315E,,M
E222868,1/29/2020,27315E,,M
E224245,1/29/2020,22450A,Other,M
E224246,1/29/2020,22450A 12951A,White,F
E224247,1/29/2020,231235A,Other Asian,F
E224248,1/29/2020,21453A,Filipino,F
E224249,1/29/2020,21453A,Other,F
E224250,1/29/2020,231235A,,M
E224251,1/29/2020,22450A,Other Asian,M
E224252,1/29/2020,22450A,,M
E224253,1/29/2020,22450A,,F
E224254,1/29/2020,22450A,Other Asian,M
E224255,1/29/2020,22450A,,M
E224256,1/29/2020,22450A 4454A 5200A,Other,M
E224257,1/29/2020,22450A,Other Asian,M
E224258,1/29/2020,22450A,Other,F
E224259,1/29/2020,22450A,White,F
E224260,1/29/2020,22450A,Other,M
E224770,1/29/2020,22450A,,M
E224771,1/29/2020,22450A,,M
E224772,1/29/2020,22450A,,F
E224773,1/29/2020,22450A,,F
E224774,1/29/2020,231235A 4454A,,M
E224775,1/29/2020,231235A,,F
E224776,1/29/2020,231235A,,F
E224777,1/29/2020,21453A,,F
E224778,1/29/2020,231235A,,M
E224779,1/29/2020,22450A,,M
E224780,1/29/2020,22450A,,M
E224781,1/29/2020,22450A,,M
E224782,1/29/2020,4454A,,M
E224783,1/29/2020,22450A,,M
E224784,1/29/2020,22450A,,M
E224785,1/29/2020,22450A,,F
E224786,1/29/2020,22450A,,M
E224787,1/29/2020,22450A,,F
E224788,1/29/2020,22450A,,M
E228896,1/29/2020,231235A,Hispanic,M
E228897,1/29/2020,231235A,Other,F
E228898,1/29/2020,231235A,Other Asian,F
E228899,1/29/2020,231235A,Asian Indian,M
E228900,1/29/2020,22450A,Hispanic,M
E231033,1/29/2020,231235A 14600A,Black,F
E232801,1/29/2020,22450A,Other Asian,F
E232802,1/29/2020,12500A,Hispanic,F
E232803,1/29/2020,22450A 12500,Hispanic,M
E233740,1/29/2020,22450A,Other Asian,M
E233741,1/29/2020,22450A,White,M
E233742,1/29/2020,23123A 146011A,Hispanic,M
E234220,1/29/2020,21453A,,F
